"","infected.treated.24hr.1","infected.treated.24hr.2","infected.treated.24hr.3","infected.treated.24hr.4","infected.treated.24hr.5","infected.untreated.24hr.1","infected.untreated.24hr.2","infected.untreated.24hr.3","infected.untreated.24hr.4","infected.untreated.24hr.5","uninfected.treated.24hr.1","uninfected.treated.24hr.2","uninfected.treated.24hr.3","uninfected.treated.24hr.4","uninfected.treated.24hr.5","uninfected.untreated.24hr.1","uninfected.untreated.24hr.2","uninfected.untreated.24hr.3","uninfected.untreated.24hr.4","uninfected.untreated.24hr.5"
"ENSG00000000003",0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",9,14,2,2,3,2,1,5,5,12,11,3,14,13,1,2,3,1,0,17
"ENSG00000000457",94,95,71,84,81,158,120,129,95,178,86,94,120,100,121,231,215,239,263,243
"ENSG00000000460",119,110,104,97,118,118,84,89,63,128,135,142,126,107,113,114,93,100,125,124
"ENSG00000000938",4,8,0,0,0,0,2,14,22,22,8,3,10,6,3,3,1,0,0,4
"ENSG00000000971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001036",17,44,15,13,9,8,5,12,7,21,21,18,29,34,13,14,6,13,8,22
"ENSG00000001084",16,39,3,5,9,1,1,5,12,11,30,18,22,33,4,4,2,0,1,12
"ENSG00000001167",19,36,10,6,9,14,3,20,34,34,29,33,36,35,9,34,18,14,15,67
"ENSG00000001460",7,11,8,10,14,22,20,18,10,32,13,14,22,16,14,25,24,24,37,25
"ENSG00000001461",6,3,3,2,2,3,2,4,4,11,4,4,5,7,2,4,0,0,1,13
"ENSG00000001497",10,24,5,4,2,2,1,16,14,18,22,15,23,21,3,22,19,9,8,73
"ENSG00000001561",4,10,0,4,1,0,0,5,1,2,4,5,16,14,2,1,1,1,0,5
"ENSG00000001617",1,0,0,0,0,0,0,1,4,2,2,1,1,3,0,2,0,0,1,6
"ENSG00000001626",2,0,3,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"ENSG00000001629",6,8,0,0,0,0,1,6,2,4,6,1,12,19,1,3,1,1,0,15
"ENSG00000001630",0,2,1,4,1,2,2,1,1,2,1,0,2,1,1,0,0,0,1,0
"ENSG00000001631",14,21,5,3,4,4,2,7,4,13,4,8,18,18,7,8,6,5,4,18
"ENSG00000002016",2,7,2,6,4,3,3,3,1,4,1,8,7,4,5,0,0,3,2,3
"ENSG00000002079",1,4,0,1,1,1,0,3,1,0,1,4,1,7,0,4,2,2,3,3
"ENSG00000002330",16,23,8,15,16,3,5,6,16,8,16,8,25,19,18,15,3,11,9,7
"ENSG00000002549",15,42,2,4,1,0,3,16,28,28,30,11,45,37,3,6,3,2,3,34
"ENSG00000002586",10,26,2,0,0,5,1,24,38,51,20,7,26,18,3,9,3,2,4,21
"ENSG00000002587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002726",4,16,4,1,2,2,2,9,17,6,4,4,2,3,5,3,2,0,1,4
"ENSG00000002745",1,5,1,1,4,1,0,1,0,0,0,2,0,0,2,1,2,1,2,3
"ENSG00000002746",1,2,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0
"ENSG00000002822",10,10,4,3,2,3,1,7,11,14,4,3,12,10,5,11,3,5,3,9
"ENSG00000002834",45,75,3,6,2,12,8,70,75,99,44,26,47,67,10,11,17,2,7,63
"ENSG00000002919",2,4,1,2,1,2,1,10,15,19,4,3,3,4,0,3,2,0,0,6
"ENSG00000002933",3,12,8,6,4,3,1,3,5,6,4,0,1,3,0,2,3,1,0,0
"ENSG00000003056",67,118,40,43,38,38,33,59,66,84,86,83,110,103,65,51,52,35,42,91
"ENSG00000003096",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
"ENSG00000003137",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003147",18,28,12,12,14,2,4,3,1,8,20,30,46,44,31,6,8,3,3,9
"ENSG00000003249",0,1,0,2,4,5,1,1,2,7,2,4,0,1,4,6,3,6,7,2
"ENSG00000003393",7,9,2,1,1,0,0,8,4,8,8,8,17,11,0,1,1,0,2,7
"ENSG00000003400",0,6,0,0,0,0,0,4,1,7,3,1,2,0,3,1,0,0,0,5
"ENSG00000003402",54,108,21,13,3,4,15,48,64,68,47,25,70,62,17,19,14,13,10,67
"ENSG00000003436",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000003509",123,116,131,129,128,131,112,103,71,125,112,155,166,143,166,136,137,153,167,146
"ENSG00000003756",29,40,5,3,4,7,4,35,48,64,26,21,28,39,13,25,7,0,4,55
"ENSG00000003987",83,73,79,77,87,62,84,81,51,63,85,115,111,80,100,46,62,50,65,59
"ENSG00000003989",3,7,1,0,0,0,0,0,0,1,5,3,10,13,1,0,1,0,0,1
"ENSG00000004059",2,10,0,1,0,1,2,7,11,14,10,5,5,9,0,4,1,0,0,9
"ENSG00000004139",487,541,577,632,722,406,297,267,248,331,850,657,853,700,1039,586,519,621,674,521
"ENSG00000004142",15,20,2,5,5,4,2,8,12,15,13,8,9,23,2,4,2,1,4,15
"ENSG00000004399",37,63,12,5,0,7,3,22,29,49,63,19,45,50,4,13,8,3,2,23
"ENSG00000004455",25,69,7,4,6,20,5,66,51,85,70,37,79,71,18,91,54,23,19,200
"ENSG00000004468",4,10,1,2,3,2,1,8,6,9,8,1,9,3,4,4,1,0,2,20
"ENSG00000004478",28,34,9,7,7,3,3,15,20,16,36,21,36,35,6,10,11,7,5,32
"ENSG00000004487",179,173,181,218,204,157,175,171,159,166,189,211,243,223,218,140,122,133,130,173
"ENSG00000004534",49,73,12,5,11,12,6,33,49,78,48,30,49,62,16,33,22,9,15,112
"ENSG00000004660",6,2,0,0,0,0,2,3,2,0,6,1,2,3,2,1,1,0,1,4
"ENSG00000004700",89,106,108,95,107,97,57,63,40,58,123,190,195,169,150,165,151,196,170,197
"ENSG00000004766",4,8,0,0,0,0,0,1,2,3,3,3,4,5,1,2,1,1,0,15
"ENSG00000004776",0,0,0,1,2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,1
"ENSG00000004777",0,0,0,1,0,1,1,5,0,6,0,0,2,1,1,3,0,0,0,7
"ENSG00000004779",8,16,1,2,0,2,1,8,5,15,8,1,6,8,5,4,2,1,1,19
"ENSG00000004799",1,0,0,0,0,1,1,0,1,1,0,1,3,3,0,0,0,0,0,3
"ENSG00000004809",46,46,42,64,76,102,73,67,46,91,126,95,134,118,157,96,90,89,128,83
