"","infection","treatment"
"infected.treated.24hr.1","Uninfected","Vehicle"
"infected.treated.24hr.2","Uninfected","Vehicle"
"infected.treated.24hr.3","Uninfected","Vehicle"
"infected.treated.24hr.4","Uninfected","Vehicle"
"infected.treated.24hr.5","Uninfected","Vehicle"
"infected.untreated.24hr.1","Uninfected","Dillapiole"
"infected.untreated.24hr.2","Uninfected","Dillapiole"
"infected.untreated.24hr.3","Uninfected","Dillapiole"
"infected.untreated.24hr.4","Uninfected","Dillapiole"
"infected.untreated.24hr.5","Uninfected","Dillapiole"
"uninfected.treated.24hr.1","Infected","Vehicle"
"uninfected.treated.24hr.2","Infected","Vehicle"
"uninfected.treated.24hr.3","Infected","Vehicle"
"uninfected.treated.24hr.4","Infected","Vehicle"
"uninfected.treated.24hr.5","Infected","Vehicle"
"uninfected.untreated.24hr.1","Infected","Dillapiole"
"uninfected.untreated.24hr.2","Infected","Dillapiole"
"uninfected.untreated.24hr.3","Infected","Dillapiole"
"uninfected.untreated.24hr.4","Infected","Dillapiole"
"uninfected.untreated.24hr.5","Infected","Dillapiole"
