"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000457",139.048138872033,1.51331408471291,0.179774356037355,8.41785290221519,3.83446813659036e-17,7.35499277070437e-15
"ENSG00000001084",9.58832806291496,-2.2908805708593,0.755318887610482,-3.03299786148166,0.00242137316046681,0.026955785663546
"ENSG00000001460",18.0078899321852,1.10275996368707,0.299769658743752,3.67869106002394,0.000234434036590858,0.00396804692284137
"ENSG00000003147",13.0306287180639,-2.24509934293929,0.367896725251625,-6.10252603201006,1.04405098821284e-09,7.47592065633886e-08
"ENSG00000003989",1.76907608961213,-3.57833533842605,1.26511287746626,-2.82847119981313,0.0046770909185015,0.0438477273609516
"ENSG00000004838",37.8807831384787,1.66120026593866,0.310862561858999,5.34384152277605,9.09971334775177e-08,3.89987714903647e-06
"ENSG00000005187",81.2198452039196,1.60087322039936,0.408230663960019,3.92149184696263,8.80024266202838e-05,0.00173021720134795
"ENSG00000005189",12.1513450958677,1.92831751203585,0.346296775296609,5.56839580843399,2.57095287211766e-08,1.26468701301652e-06
"ENSG00000005882",42.6398433822309,1.13591421501149,0.312471484436812,3.63525720453765,0.000277703431171222,0.0045844778959955
"ENSG00000006016",180.358623436886,1.3394335116145,0.44551079973823,3.00651187895223,0.00264263728282973,0.0287746487617255
"ENSG00000006118",99.9504326796375,-1.32222430248394,0.228345089256055,-5.79046524184831,7.01917233005204e-09,4.07111995143018e-07
"ENSG00000006283",1.48756069529647,3.61372443805892,1.16039310240154,3.11422433533945,0.00184429205175178,0.0217206701083431
"ENSG00000006453",50.1820876399508,-1.13330233860786,0.286969998504238,-3.94920146536196,7.84123365966987e-05,0.00155572936919334
"ENSG00000006695",3.62302053792853,-3.6959195747236,1.05164714841516,-3.51441030415323,0.00044073148488373,0.00669757889692306
"ENSG00000009413",30.9325645667746,-1.13742376610462,0.266811719696145,-4.26302025788057,2.01682226484049e-05,0.000478102280766002
"ENSG00000010292",45.5012708476204,1.7597923131103,0.209297670203062,8.4080836227319,4.16763981731317e-17,7.88227530665751e-15
"ENSG00000010327",66.4653376671993,1.71126990376554,0.338548423463972,5.05472713845808,4.31006530941593e-07,1.53994119884676e-05
"ENSG00000011426",10.4335943776402,1.81360705233758,0.591065830171669,3.06836727782222,0.00215231911427113,0.0245737221708121
"ENSG00000012048",43.4222075022354,1.03499604053426,0.268911470649065,3.84883559647388,0.000118680622546787,0.0022204761637786
"ENSG00000013392",6.82943532139112,-2.11796655223814,0.722822866182247,-2.93013219604502,0.00338817829815613,0.0345511975516415
"ENSG00000019102",73.0174068443947,1.35364114860959,0.34425064195545,3.93213834234409,8.41935876913204e-05,0.00166096193404646
"ENSG00000022567",231.817212901881,2.32283050718658,0.36003513254105,6.45167734268749,1.10618901078698e-10,9.20942047258057e-09
"ENSG00000025423",61.8963895876758,2.11056071036712,0.380785801353223,5.54264550533839,2.97935644124099e-08,1.44002227993315e-06
