"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000249906",33.2102281951575,-7.68425269107883,0.973984850441909,-7.88949919251043,3.03401595404821e-15,4.75602500904855e-13
"ENSG00000064300",5.87018238341998,-6.34433813900424,1.08597420729136,-5.84207073833576,5.15559039481032e-09,3.08272415359792e-07
"ENSG00000110002",6.06428580634112,-5.7237456283254,1.29291516107432,-4.42700789707608,9.55492356081956e-06,0.00024851370696302
"ENSG00000264876",3.83184867977013,-5.61853620412002,1.03415751180552,-5.43295981509692,5.54268933026259e-08,2.49206186942039e-06
"ENSG00000106034",5.1699401652198,-5.55426972978301,0.975572955291991,-5.69334123055985,1.2457705954577e-08,6.69024949412469e-07
"ENSG00000260704",23.2109427464818,-5.45223086530071,0.617349368860537,-8.83167804214991,1.03116897677577e-18,2.4246405670133e-16
"ENSG00000071242",9.13438884899322,-5.35933650381318,1.13929003084665,-4.70410199221218,2.54985763391791e-06,7.71609092698636e-05
"ENSG00000204103",7.06191749095612,-5.32991075856089,1.13208614243169,-4.70804345958371,2.50105785773909e-06,7.58160395900004e-05
"ENSG00000206549",4.8681060621824,-5.24432300453113,1.0334033656153,-5.07480735889475,3.87888771657719e-07,1.40825966211426e-05
"ENSG00000204876",34.6916055127189,-5.2209993739261,0.6054679220084,-8.62308172596081,6.51759056716036e-18,1.36633826347699e-15
