"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000106034",5.1699401652198,-5.24617035727823,0.989645412226406,-5.30106065512486,1.15131826725749e-07,3.54565271686378e-06
"ENSG00000220773",4.36280964918189,-5.19125155571941,1.14786755568105,-4.52251788982691,6.11083199570857e-06,0.000123925963549335
"ENSG00000260704",23.2109427464818,-5.16708243427657,0.673228224564656,-7.67508290018273,1.65311705517827e-14,1.73278534699409e-12
"ENSG00000227972",3.01164986493757,-5.1332501108375,1.11355340425292,-4.60979248164697,4.03071103711538e-06,8.5425544513773e-05
"ENSG00000249906",33.2102281951575,-4.97257353190502,0.556800951183453,-8.93061249506859,4.23656613198953e-19,8.01263594528455e-17
"ENSG00000253992",2.06304485397607,-4.97076713140367,1.17211260789688,-4.24086141375334,2.22663591608787e-05,0.000383219237783669
"ENSG00000271714",3.31329080220482,-4.78996963907056,1.09620190702682,-4.36960527833981,1.244713211004e-05,0.000232133010412322
"ENSG00000159214",25.8221705554568,-4.67580299287569,0.521490217631548,-8.96623337272133,3.06827472922174e-19,5.8668110207097e-17
"ENSG00000243959",4.22473611474358,-4.67149450659306,1.01602011143275,-4.59783665109295,4.26900481490339e-06,8.98194483425865e-05
"ENSG00000253406",40.128153299222,-4.58904733540798,0.39306690678978,-11.6749776084871,1.71110782572497e-31,1.19093104670458e-28
