"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000173110",16.4727316842218,8.43033884226335,1.21208297891883,6.95524893005526,3.5194003783073e-12,2.75844894515978e-10
"ENSG00000254092",17.5716547287457,8.10248006259176,0.953530813983422,8.49734475673968,1.93976668311046e-17,2.9606965163265e-15
"ENSG00000225217",8.02030507505426,7.37788580068838,1.21293587234325,6.08266765697609,1.18199192255172e-09,5.71296095899999e-08
"ENSG00000118785",10.5122301503562,7.06212059065285,1.37065029293927,5.15238688309662,2.57191753843977e-07,7.4091664186841e-06
"ENSG00000234211",352.721356172195,6.92011319037589,0.464689656072778,14.8919027999455,3.72029029616388e-50,8.09163139415644e-47
"ENSG00000243020",5.83424529324746,6.73925141696007,1.00050492761483,6.73585030013419,1.62974014750824e-11,1.09912707622649e-09
"ENSG00000181458",6.97839460601561,6.53159576511767,1.34031093848538,4.87319440405278,1.09808071326831e-06,2.74915171379404e-05
"ENSG00000111490",9.9639159998197,6.50381653637637,1.16224986461334,5.59588495933278,2.19499218981895e-08,8.0068897490251e-07
"ENSG00000007944",4.61130181688787,6.38623533388203,1.73419798046005,3.68252956458171,0.000230931076517592,0.00283171298901065
"ENSG00000277959",12.6326486432591,6.28838651142221,0.908414392386251,6.9223765762932,4.44128706016699e-12,3.33096529512524e-10
