"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000118322",13.7616009193334,-6.45532759628426,0.898494156520491,-7.18460721134033,6.74006747609229e-13,1.55072102456193e-10
"ENSG00000226239",28.8842453273434,-6.32970450940367,0.697111380955943,-9.07990413343101,1.08670524794905e-19,7.69303722836548e-17
"ENSG00000277089",210.62750927028,-5.69122169446434,0.497119262043322,-11.4484030875641,2.39517223876585e-30,7.34759003778738e-27
"ENSG00000260903",6.97445400728799,-5.17505673598517,0.986160516253879,-5.24768194496736,1.54024907095639e-07,1.44641961224609e-05
"ENSG00000104432",11.9621297453597,-5.06390552121789,0.657839867719449,-7.69777839517855,1.38452209115163e-14,4.11024413060272e-12
"ENSG00000272273",34.4352941357491,-4.7537517346719,0.485767261784708,-9.78606857367584,1.29222990933098e-22,1.69891312222472e-19
"ENSG00000259279",50.2690150754378,-4.74711675360918,0.548196815376474,-8.65951173092661,4.73789285818017e-18,2.42237933187956e-15
"ENSG00000204044",53.3756338103491,-4.68801816753182,0.492245437062038,-9.52374123671355,1.67054121317995e-21,1.70822119832168e-18
"ENSG00000104946",1268.36956952232,-4.61455865355862,0.320859632918015,-14.3818610387107,6.72612482852387e-47,6.19005267969052e-43
"ENSG00000267765",20.3823901483834,-4.5818347094021,0.651869427406291,-7.02876146168208,2.08374858696622e-12,4.35834960132958e-10
