"","ensembl_gene_id","external_gene_name","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000104951","IL4I1","interleukin 4 induced 1",26.9543854951209,-6.5340222623651,1.0266844647244,-6.36419707014763,1.96313954897082e-10,2.53617458520667e-08
"2","ENSG00000165178","NCF1C","neutrophil cytosolic factor 1C (pseudogene)",30.9725801701222,-5.68428684734815,0.845305203809603,-6.72453786127228,1.76150614061933e-11,2.66781831963602e-09
"3","ENSG00000169429","CXCL8","C-X-C motif chemokine ligand 8",9.87181148550183,-6.06509775166507,1.43507907486306,-4.22631606710859,2.37548271810099e-05,0.000601581262774166
"4","ENSG00000173110","HSPA6","heat shock protein family A (Hsp70) member 6",16.4727316842218,-7.36470663342077,1.20940135709789,-6.08954718811733,1.13230487544848e-09,1.18992147727402e-07
"5","ENSG00000182487","NCF1B","neutrophil cytosolic factor 1B (pseudogene)",33.246817310624,-5.68629707730775,0.800754125149716,-7.10117737606983,1.23698491779998e-12,2.48168091041221e-10
"6","ENSG00000204103","MAFB","MAF bZIP transcription factor B",7.06191749095612,-5.64048722055422,1.13580844773199,-4.9660549996941,6.83285840298698e-07,3.20832816441772e-05
"7","ENSG00000225217","HSPA7","heat shock protein family A (Hsp70) member 7 (pseudogene)",8.02030507505426,-5.8087845171593,1.16313967520838,-4.99405586531871,5.91242830223781e-07,2.83649665878788e-05
"8","ENSG00000237499","WAKMAR2","wound and keratinocyte migration associated lncRNA 2",37.9512526724089,-5.77211181248327,0.524358199529073,-11.0079556640236,3.49852074537098e-28,2.70225742372454e-25
"9","ENSG00000253522","MIR3142HG","MIR3142 host gene",5.43127133974799,-6.266591654183,1.24407218895345,-5.03716079326125,4.72487855064538e-07,2.35085931953428e-05
"10","ENSG00000277089","CCL3-AS1","CCL3 antisense RNA 1",210.62750927028,-5.77979008974251,0.418579537127016,-13.8081047377829,2.27744891921009e-43,5.02600441485108e-40
